id,classification,Kingdom,Phylum,Class,Order,Family,Genus
636c27859c1ac0a7994ca8ed145d03fe,Bacteria(100);Bacillota(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Lactococcus(100),Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
f35ce9c514e1398308f5f84ed50b260f,Bacteria(100);Bacteroidota(95);Bacteroidota_unclassified(95);Bacteroidota_unclassified(95);Bacteroidota_unclassified(95);Bacteroidota_unclassified(95),Bacteria,Bacteroidota,Bacteroidota_unclassified,Bacteroidota_unclassified,Bacteroidota_unclassified,Bacteroidota_unclassified
79e9e337b10e2d298bb1b3bde946782d,Bacteria(100);Pseudomonadota(100);Gammaproteobacteria(100);Enterobacterales(100);Enterobacteriaceae(97);Escherichia/Shigella(97),Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia/Shigella
0a69950e803a5d9e7166c450e44f43cf,Bacteria(100);Bacillota(100);Clostridia(100);Eubacteriales(100);Lachnospiraceae(100);Roseburia(100),Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Roseburia
e5c80b4a23b96b2fa35b6da6cac2bf73,Bacteria(100);Bacteroidota(100);Cytophagia(100);Cytophagales(100);Spirosomaceae(100);Flectobacillus(100),Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomaceae,Flectobacillus
9118606a87ac19f8d041da20f16f3236,Bacteria(100);Bacteroidota(100);Bacteroidia(99);Bacteroidales(99);Porphyromonadaceae(99);Parabacteroides(99),Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides
d8e8459398f3f096775f4298666880a7,Bacteria(100);Bacteroidota(95);Bacteroidota_unclassified(95);Bacteroidota_unclassified(95);Bacteroidota_unclassified(95);Bacteroidota_unclassified(95),Bacteria,Bacteroidota,Bacteroidota_unclassified,Bacteroidota_unclassified,Bacteroidota_unclassified,Bacteroidota_unclassified
fba3d9b3872ff9021d66434323fb9565,Bacteria(100);Bacillota(100);Negativicutes(100);Veillonellales(100);Veillonellaceae(100);Veillonella(100),Bacteria,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Veillonella
ae27459b7f5465815b1f565d792083ce,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Hoylesella(100),Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Hoylesella
4fdf8dcd9451f5742982d716fa9f0536,Bacteria(100);Pseudomonadota(100);Betaproteobacteria(100);Burkholderiales(100);Burkholderiaceae(96);Lautropia(83),Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia
4ea5683e2c2a183c11c45dc8fbd0c67c,Bacteria(100);Actinomycetota(100);Actinobacteria(100);Mycobacteriales(100);Corynebacteriaceae(98);Corynebacterium(98),Bacteria,Actinomycetota,Actinobacteria,Mycobacteriales,Corynebacteriaceae,Corynebacterium
469e4ff2129066178b74b112829fc03c,Bacteria(100);Actinomycetota(100);Actinobacteria(100);Mycobacteriales(100);Corynebacteriaceae(100);Corynebacterium(100),Bacteria,Actinomycetota,Actinobacteria,Mycobacteriales,Corynebacteriaceae,Corynebacterium
6edca9464612efff71d8f97299f01663,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(97),Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella
41fedaa9200e2933821f84ecdc0b0772,Bacteria(100);Bacillota(100);Clostridia(100);Eubacteriales(100);Lachnospiraceae(100);Blautia(99),Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Blautia
41735c13fb7f63db49b10fba5d959ce3,Bacteria(100);Pseudomonadota(100);Betaproteobacteria(100);Neisseriales(100);Neisseriaceae(100);Neisseria(99),Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria
54d098d009b89779530eaf43a1bb136a,Bacteria(100);Pseudomonadota(100);Gammaproteobacteria(100);Pasteurellales(99);Pasteurellaceae(99);Pasteurellaceae_unclassified(99),Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurellaceae_unclassified
76174505aef45f134d8068d5ad2c42aa,Bacteria(100);Fusobacteriota(98);Fusobacteriia(98);Fusobacteriales(98);Fusobacteriaceae(98);Fusobacteriaceae_unclassified(98),Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacteriaceae_unclassified
b8afb7bb30b7a9170b7c6dcd40251d54,Bacteria(100);Bacillota(100);Clostridia(100);Eubacteriales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100),Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnospiraceae_unclassified
4c4606a3dbb4f5b8bb1ad1db6dfc5617,Bacteria(100);Actinomycetota(100);Actinobacteria(100);Propionibacteriales(100);Propionibacteriaceae(100);Cutibacterium(100),Bacteria,Actinomycetota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium
